device,version,seed,distribution,batch_size,epochs,learning_rate,alpha,beta,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
redwan-pc,20,0,"[0.3, 0.2, 0.2, 0.3]",64,14,0.001,10,0.1,custom,10,128,max,[32],0.001,0,,valLoss,0.5465,0.31522873044013977,0.9765817523002625,0.920265793800354,0.551842212677002,0.849706768989563,0.765625,0.34075573086738586,0.9632115364074707,0.9035124778747559
redwan-colab,170,0,"[0.3, 0.2, 0.2, 0.3]",64,14,0.001,10,0.1,custom,10,128,max,[32],0.001,0,,valLoss,0.5454930663108826,0.3161470890045166,0.976597011089325,0.9155197143554688,0.5522263050079346,0.8490347266197205,0.76953125,0.3416251540184021,0.9632065892219543,0.8997037410736084
redwan-colab,171,0,"[0.3, 0.2, 0.2, 0.3]",64,14,0.001,10,0.1,custom,10,256,max,[32],0.001,0,,valLoss,0.5512274503707886,0.28110471367836,0.9886963963508606,0.9487422704696655,0.5540960431098938,0.8527615070343018,0.77734375,0.3106316328048706,0.9756807088851929,0.9301735162734985
redwan-colab,172,0,"[0.3, 0.2, 0.2, 0.3]",64,14,0.001,10,0.1,custom,10,512,max,[32],0.001,0,,valLoss,0.5605168342590332,0.2811049818992615,0.9910885691642761,0.9596582651138306,0.5689572691917419,0.8519061803817749,0.7890625,0.3122069835662842,0.9773420095443726,0.9411764740943909
redwan-colab,173,0,"[0.3, 0.2, 0.2, 0.3]",64,12,0.001,10,0.1,custom,12,128,max,[32],0.001,0,,valLoss,0.5876425504684448,0.299500048160553,0.9884195923805237,0.952064573764801,0.5953562259674072,0.8267961740493774,0.7734375,0.3314819037914276,0.9726875424385071,0.9327126741409302
redwan-colab,174,0,"[0.3, 0.2, 0.2, 0.3]",64,11,0.001,10,0.1,custom,12,256,max,[32],0.001,0,,valLoss,0.5742876529693604,0.2860870659351349,0.9914515018463135,0.9615567326545715,0.5779637098312378,0.8398094177246094,0.78125,0.31758272647857666,0.977107584476471,0.9420228600502014
redwan-colab,175,0,"[0.3, 0.2, 0.2, 0.3]",64,14,0.001,10,0.1,custom,12,512,max,[32],0.001,0,,valLoss,0.5556313991546631,0.25521767139434814,0.9934223294258118,0.9677266478538513,0.5731072425842285,0.8512340784072876,0.75,0.28950169682502747,0.9799140095710754,0.9441388249397278
redwan-colab,176,0,"[0.3, 0.2, 0.2, 0.3]",64,13,0.001,10,0.1,custom,14,128,max,[32],0.001,0,,valLoss,0.5890839695930481,0.23872816562652588,0.9977291822433472,0.9691504240036011,0.6373798847198486,0.8237414360046387,0.75,0.2816876471042633,0.9828388690948486,0.9454084038734436
redwan-colab,177,0,"[0.3, 0.2, 0.2, 0.3]",64,13,0.001,10,0.1,custom,14,256,max,[32],0.001,0,,valLoss,0.5870409607887268,0.2199876755475998,0.9982860088348389,0.9800664186477661,0.6085708141326904,0.8320503234863281,0.75390625,0.26181674003601074,0.9841394424438477,0.9555649757385254
redwan-colab,178,0,"[0.3, 0.2, 0.2, 0.3]",64,5,0.001,10,0.1,custom,14,512,max,[32],0.001,0,,valLoss,0.700655996799469,0.7022384405136108,0.5630657076835632,0.5030849575996399,0.7013742327690125,0.4932795763015747,0.515625,0.7021447420120239,0.5542110204696655,0.5044435262680054
